[86, 43, 720, 1280]
[79, 76, 720, 1257]
[116, 31, 699, 1280]
[91, 28, 720, 1278]
[84, 74, 720, 1264]
[113, 38, 703, 1275]
[123, 50, 720, 1280]
[135, 38, 720, 1268]
[143, 66, 720, 1251]
[130, 46, 720, 1270]
[157, 68, 720, 1240]
[150, 35, 720, 1257]
[146, 42, 720, 1267]
[115, 52, 720, 1279]
[119, 30, 720, 1268]
[125, 34, 720, 1258]
[129, 11, 720, 1260]
[126, 12, 720, 1280]
[130, 6, 720, 1254]
[107, 60, 720, 1280]
[116, 16, 720, 1280]
[144, 72, 716, 1240]
[106, 63, 720, 1280]
[130, 54, 718, 1239]
[135, 48, 720, 1255]
[125, 1, 720, 1264]
[127, 22, 720, 1274]
[119, 28, 720, 1280]
[120, 0, 720, 1262]
[109, 25, 720, 1274]
[118, 6, 720, 1273]
[95, 26, 720, 1280]
[139, 4, 720, 1244]
[116, 7, 720, 1252]
[111, 21, 720, 1280]
[130, 34, 720, 1246]
[124, 0, 720, 1256]
[122, 35, 720, 1271]
[119, 30, 704, 1277]
[138, 32, 717, 1280]
[127, 33, 720, 1278]
[140, 9, 720, 1260]
[139, 15, 720, 1279]
[140, 0, 720, 1264]
[143, 9, 708, 1271]
[157, 21, 720, 1270]
[152, 0, 695, 1280]
[138, 0, 720, 1258]
[121, 58, 697, 1280]
[103, 0, 720, 1280]
[128, 11, 680, 1280]
[114, 52, 693, 1274]
[125, 20, 720, 1280]
[130, 0, 720, 1280]
[125, 22, 716, 1280]
[119, 23, 720, 1280]
[139, 0, 720, 1280]
[139, 0, 720, 1280]
[128, 58, 712, 1280]
[128, 0, 720, 1280]
[135, 39, 720, 1280]
[121, 4, 720, 1280]
[98, 85, 706, 1262]
[122, 0, 720, 1280]
[119, 0, 720, 1274]
[113, 17, 720, 1280]
[114, 82, 716, 1278]
[129, 21, 720, 1265]
[124, 62, 719, 1266]
[129, 55, 720, 1272]
[134, 13, 720, 1277]
[127, 25, 720, 1254]
[129, 46, 720, 1256]
[136, 33, 720, 1239]
[129, 3, 720, 1280]
[126, 52, 720, 1267]
[114, 12, 720, 1278]
[115, 29, 720, 1280]
[120, 54, 720, 1253]
[129, 4, 720, 1261]
[128, 15, 720, 1280]
[105, 12, 720, 1280]
[110, 12, 720, 1280]
[114, 15, 720, 1280]
[101, 0, 720, 1280]
[131, 50, 720, 1280]
[116, 76, 720, 1280]
[106, 40, 720, 1280]
[116, 62, 720, 1269]
[145, 56, 720, 1269]
[68, 65, 720, 1280]
[131, 35, 720, 1280]
[119, 47, 705, 1280]
[119, 87, 720, 1280]
[103, 87, 720, 1265]
[139, 75, 720, 1280]
[141, 43, 720, 1280]
[138, 37, 713, 1241]
[137, 41, 720, 1275]
[103, 51, 720, 1280]
[92, 71, 720, 1276]
[133, 62, 713, 1280]
[104, 48, 720, 1280]
[99, 70, 720, 1274]
[112, 57, 711, 1269]
[150, 59, 720, 1280]
[137, 51, 720, 1280]
[117, 68, 720, 1280]
[146, 23, 720, 1256]
[140, 0, 720, 1280]
[144, 31, 720, 1242]
[143, 25, 720, 1254]
[116, 37, 720, 1243]
[131, 33, 694, 1280]
[123, 0, 702, 1280]
[99, 0, 686, 1280]
[132, 7, 720, 1268]
[107, 17, 720, 1269]
[135, 25, 720, 1245]
[126, 19, 720, 1258]
[140, 64, 710, 1224]
[109, 60, 712, 1221]
[187, 68, 720, 1257]
[99, 30, 716, 1280]
[138, 61, 704, 1201]
[105, 18, 720, 1280]
[133, 79, 701, 1241]
[143, 69, 717, 1233]
[106, 87, 713, 1280]
[178, 58, 720, 1280]
[146, 70, 720, 1253]
[195, 50, 720, 1221]
[165, 75, 706, 1217]
[183, 92, 720, 1264]
[325, 70, 720, 1194]
[173, 110, 720, 1247]
[87, 130, 720, 1181]
[85, 84, 710, 1170]
[147, 88, 720, 1215]
[172, 79, 714, 1157]
[132, 167, 720, 1251]
[142, 128, 714, 1214]
